,City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket
0,Ahmedabad,15-05-2019,37.55,122.41,15.08,85.12,58.72,25.24912927,15.08,163.01,48.23,16.44,85.54,281,Poor
1,Ahmedabad,16-05-2019,33.97,116.32,14.67,79.71,55.61,25.24912927,14.67,91.26,51.86,15.55,83.89,330,Very Poor
2,Ahmedabad,17-05-2019,35.48,130.07,18.02,77.61,58.41,25.24912927,18.02,98.35,38.99,15.88,83.83,356,Very Poor
3,Ahmedabad,18-05-2019,34.11,138.31,13.27,75.23,51.83,25.24912927,13.27,88.66,42.22,15.93,82.73,359,Very Poor
4,Ahmedabad,19-05-2019,33.69,111.73,34.56,68.9,69.77,25.24912927,34.56,80.9,36.95,15.53,84.17,547,Severe
5,Ahmedabad,20-05-2019,42.31,118.65,17.47,81.84,59.84,25.24912927,17.47,89.57,46.68,15.98,83.87,813,Severe
6,Ahmedabad,21-05-2019,24.6,103.88,11.03,81.24,52.21,25.24912927,11.03,80.74,46.65,15.31,82.95,321,Very Poor
7,Ahmedabad,22-05-2019,27.93,103.3,11.44,76.75,50.49,25.24912927,11.44,86.48,54.34,15.6,84.17,270,Poor
8,Ahmedabad,23-05-2019,41.39,135.65,14.29,89.1,59.76,25.24912927,14.29,105.96,49.7,16.33,83.95,323,Very Poor
9,Ahmedabad,24-05-2019,46.79,148,14.31,93.27,61.82,25.24912927,14.31,131.04,56.31,15.21,82.4,344,Very Poor
10,Ahmedabad,25-05-2019,51.63,156.97,17.96,89.18,63.98,25.24912927,17.96,134.22,49.62,15.72,83.2,404,Severe
11,Ahmedabad,26-05-2019,63.15,177.87,28.03,100.08,80.78,25.24912927,28.03,122.43,50.32,17.05,84.59,558,Severe
12,Ahmedabad,27-05-2019,57.47,163.36,21.39,112.68,79.36,25.24912927,21.39,143.3,52.19,16.47,84.11,435,Severe
